Firmenname,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,Begründung,Zertifizierung,Bemerkung
Stadtwerke Schwerte GmbH,,,,,A,,,
Stadtwerke Schwetzingen GmbH & Co. KG,Scheffelstr. 16,68723,Schwetzingen,https://www.stadtwerke-schwetzingen.de,A,,,vertreibt Strom von NaturEnergie / Energiedienst
Stadtwerke Senftenberg GmbH,,,,,A,,,
Stadtwerke Sigmaringen,Fürst-Wilhelm-Str.15,72488,Sigmaringen,https://www.stadtwerke-sigmaringen.de,A,,,
Stadtwerke Sindelfingen GmbH,,,,,A,,,
Stadtwerke Soest GmbH,Aldegreverwall 12,59494,Soest,https://www.stadtwerke-soest.de,A,,,
Stadtwerke Solingen GmbH,Beethovenstr. 210,42655,Solingen,https://www.stadtwerke-solingen.de,A,,,
Stadtwerke Soltau GmbH & Co. KG,Weinberg 46,29614,Soltau,https://www.sw-soltau.de,R,,TÜV Rheinland,"bietet 100% ""Naturgas"""
Stadtwerke Sondershausen GmbH,Johann-Karl-Wezel-Straße 65,99706,Sondershausen,https://www.stadtwerke-sondershausen.de,A,,,
Stadtwerke Speyer GmbH,Georg-Peter-Süß Str. 2,67346,Speyer,https://www.stadtwerke-speyer.de,A,,,
Stadtwerke Springe GmbH,Zum Oberntor 19,31832,Springe,https://www.stadtwerke-springe.de,A,,,
Stadtwerke St. Ingbert GmbH,,,,,A,,,
Stadtwerke Stade GmbH,Hansestr. 18,21682,Stade,https://www.stadtwerke-stade.de,A,,,
Stadtwerke Stadtoldendorf GmbH,,,,,A,,,
Stadtwerke Stadtroda GmbH,,,,,A,,,
Stadtwerke Staßfurt GmbH,Athenslebener Weg 15,39418,Staßfurt,http://www.stadtwerke-stassfurt.de,A,,,
Stadtwerke Steinfurt GmbH,,,,,A,,,
Stadtwerke Stein GmbH & Co. KG,Wilhelmstraße 5,90547,Stein,https://www.stst.de,A,,,
Stadtwerke Stendal GmbH,Rathenower Str. 1,39576,Stendal,https://www.stadtwerke-stendal.de,A,,,
Stadtwerke Stockach GmbH,Ablaßwiesen 8,78333,Stockach,https://www.stadtwerke-stockach.de,A,,, Angebot mit Biogas Anteil
Stadtwerke Straubing Strom und Gas GmbH,Sedanstraße 10 - Heerstraße 43,94315,Straubing,https://www.stadtwerke-straubing.com,A,,,"Bayernwerk AG, Beteoligung 19,9%"
Stadtwerke Strausberg GmbH,Kastanienallee 38,15344,Strausberg,https://ssg-strausberg.de,A,,,
Stadtwerke - Strom Plauen GmbH & Co. KG,Hammerstraße 68,8523,Plauen,https://www.stadtwerke-strom-plauen.de/de/,A,,,
Stadtwerke Suhl/Zella-Mehlis GmbH,Fröhliche-Mann-Straße 2,98528,Suhl,https://www.swsz.de,A,,,
Stadtwerke Sulzbach/Saar GmbH,,,,,A,,,
Stadtwerke Tecklenburger Land Energie GmbH,Zechenstraße 10,49477,Ibbenbüren,https://www.stadtwerke-tecklenburgerland.de,A,,,
Stadtwerke Teterow GmbH,Gasstraße 26,17166,Teterow,https://sw-teterow.de,A,,,
Stadtwerke Thale GmbH,Tunnelweg 2,6502,Thale,https://www.stadtwerke-thale.de,A,,,
Stadtwerke Tirschenreuth,,,,,A,,,
Stadtwerke Torgau GmbH,Fischerdörfchen 11,4860,Torgau,https://stadtwerke-torgau.de,A,,,
Stadtwerke Tornesch GmbH,Esinger Straße 1,25436,Tornesch,https://www.sw-tornesch.de,A,,,
Stadtwerke Traunstein GmbH & Co. KG,Gasstrasse 37,83278,Traunstein,https://www.stadtwerketraunstein.de,A,,,
Stadtwerke Treuchtlingen,Dürerstraße 26,91757,Treuchtlingen,https://www.sw-trl.de,A,,,
Stadtwerke Troisdorf GmbH,Poststr. 105,53840,Troisdorf,https://www.stadtwerke-troisdorf.de,R,,RenewablePLUS,
Stadtwerke Trostberg Stromversorgung GmbH,Friedrich-Ebert-Str. 2,83308,Trostberg,https://www.stadtwerke-trostberg.de,A,,,
Stadtwerke Tübingen GmbH,Eisenhutstr.6,72072,Tübingen,https://www.swtue.de,A,,,
Stadtwerke Tuttlingen GmbH,Bahnhofstr. 120,78532,Tuttlingen,https://www.swtenergie.de,A,,,
Stadtwerke Uelzen GmbH,Im neuen Felde 105,29525,Uelzen,https://www.stadtwerke-uelzen.de,A,,,
Stadtwerke Uetersen GmbH,,,,,A,,,
Stadtwerke Uffenheim,Ringstraße 10,97215,Uffenheim,https://www.stadtwerke-uffenheim.de,A,,,
Stadtwerke Unna GmbH,Heinrich-Hertz-Str. 2,59423,Unna,https://www.sw-unna.de,A,,,
Stadtwerke Uslar GmbH,Alleestr. 6-8,37170,Uslar,https://www.stadtwerke-uslar.de,A,,,
Stadtwerke Velbert GmbH,,,,,A,,,
Stadtwerke Velten GmbH,Viktoriastr. 12,16727,Velten,https://www.stadtwerke-velten.de,A,,,
Stadtwerke Verden GmbH,Weserstraße 26,27283,Verden,https://www.stadtwerke-verden.de,A,,,
Stadtwerke Viernheim GmbH,Industriestraße 2,68519,Viernheim,https://www.stadtwerke-viernheim.de,A,,,
Stadtwerke Villingen-Schwenningen GmbH,Pforzheimer Str. 1,78048,Villingen-Schwenningen,https://www.svs-energie.de,A,,,
Stadtwerke Vilsbiburg,Kindlmühlestraße 2,84137,Vilsbiburg,https://www.stw-vilsbiburg.de,A,,,
Stadtwerke Vilshofen GmbH,,,,,A,,,
Stadtwerke Vlotho GmbH,,,,,A,,,
Stadtwerke Voerde GmbH,Rathausplatz 20 ,46562,Voerde,https://www.stadtwerke-voerde.de,RC,,,Ökogas Angebot
Stadtwerke Völklingen Vertrieb GmbH,,,,,A,,,
Stadtwerke Wachenheim,Weinstr. 16,67157,Wachenheim,https://www.swwachenheim.de,A,,,
Stadtwerke Wadern GmbH,,,,,A,,,
Stadtwerke Waiblingen GmbH,Schorndorfer Straße 67,71332,Waiblingen,https://stadtwerke-waiblingen.de,A,,,
Stadtwerke Waldkirchen,,,,,A,,,
Stadtwerke Waldkirch GmbH,Fabrikstraße 15,79183,Waldkirch,http://www.stadtwerke-waldkirch.de,R,,,
Stadtwerke Waldkraiburg GmbH,Meisenweg 1,84478,Waldkraiburg,https://www.waldkraiburg.de,A,,,
Stadtwerke Waldmünchen,,,,,A,,,
Stadtwerke Waldshut-Tiengen GmbH,Peter-Thumb-Str. 1,79761,Waldshut-Tiengen,https://www.stadtwerke-wt.de,A,,,
Stadtwerke Walldorf GmbH & Co. KG,Altrottstraße 39,69190,Walldorf,https://www.stadtwerke-walldorf.de,A,,,
Stadtwerke Walldürn GmbH,,,,,A,,,
Stadtwerke Waltrop GmbH & Co. KG,,,,,A,,,
Stadtwerke Waren GmbH,,,,,A,,,
Stadtwerke Wasserburg a. Inn,Max-Emanuel-Platz 6,83512,Wasserburg a. Inn,http://www.stadtwerke-wasserburg.de,A,,,
Stadtwerke Wedel GmbH,Feldstraße 150,22880,Wedel,https://www.stadtwerke-wedel.de,A,,,
Stadtwerke Weiden i.d.OPf.,Gaswerkstr. 20,92637,Weiden i.d.OPf.,https://stadtwerke-weiden.de,A,,,
Stadtwerke Weilburg GmbH,Lessingstraße 6,35781,Weilburg,https://www.stadtwerke-weilburg.de,A,,,
Stadtwerke Weilheim i.OB,Krumpperstraße 21,82362,Weilheim i.OB,http://www.stawm.de,A,,,
Stadtwerke Weimar Stadtversorgungs-GmbH,Industriestraße 14,99427,Weimar,https://sw-weimar.de,A,,,
Stadtwerke Weinheim GmbH,Breitwieserweg 5,69469,Weinheim,https://www.sww.de,A,,,
Stadtwerke Weinstadt,,,,,A,,,
Stadtwerke Weißenburg GmbH,Schlachthofstraße 19,91781,Weißenburg / Bayern,https://www.sw-wug.de,A,,,
Stadtwerke Weißenfels GmbH,Südring 120,6667,Weißenfels,https://stadtwerke-wsf.de,A,,,
Stadtwerke Weißwasser GmbH,,,,,A,,,
Stadtwerke Werdau GmbH,Zwickauer Straße 39,8412,Werdau,https://www.stadtwerke-werdau.de,A,,,
Stadtwerke Werl GmbH,,,,,A,,,
Stadtwerke Wernigerode GmbH,Am Kupferhammer 38,38855,Wernigerode,https://www.stadtwerke-wernigerode.de,A,,,
Stadtwerke Wertheim GmbH,Mühlenstr. 60,97877,Wertheim,https://www.stadtwerke-wertheim.de,A,,,
Stadtwerke Wesel GmbH,Emmericher Str. 11 - 29,46485,Wesel,https://www.stadtwerke-wesel.de,A,,,
Stadtwerke Weserbergland GmbH,Hafenstraße 14,31785,Hameln,https://www.stadtwerke-weserbergland.de,A,,,
Stadtwerke Willich GmbH,Brauereistraße 7,47877,Willich,https://stadtwerke-willich.de/,A,,,
Stadtwerke Wilster,Klosterhof 31,25554,Wilster,https://www.stadtwerke-wilster.de,A,,,
Stadtwerke Windsbach,,,,,A,,,
Stadtwerke Winnenden GmbH,Wiesenstr. 10,71364,Winnenden,https://stadtwerke-winnenden.de,A,,,
Stadtwerke Winsen (Luhe) GmbH,Schloßring 50,21423,Winsen (Luhe),https://www.stw-winsen.de,A,,,
Stadtwerke Wismar GmbH,Flöter Weg 6 -12,23970,Wismar,https://www.stadtwerke-wismar.de,A,,,
Stadtwerke Wissen GmbH,Wiesenstraße 2,57537,Wissen,https://www.stadtwerke-wissen.de,R,,FirstClimate-Naturstrom Wasser und Wald,
Stadtwerke Wittenberge GmbH,,,,,A,,,
Stadtwerke Witten GmbH,,,,,A,,,
Stadtwerke Wolfenbüttel GmbH,Am Wasserwerk 2,38304,Wolfenbüttel,https://www.stadtwerke-wf.de,A,,,
Stadtwerke Wolfhagen GmbH,Siemensstraße 10,34466,Wolfhagen,https://www.stadtwerke-wolfhagen.de,A,,x,hohes engagement
Stadtwerke Wolmirstedt GmbH,,,,,A,,,
Stadtwerke Wunstorf GmbH & Co. KG,,,,,A,,,
Stadtwerke Würzburg AG,Haugerring 5,97070,Würzburg,https://www.wvv.de,A,,,
Stadtwerke Zeil am Main,Bamberger Str. 20,97475,Zeil a. Main,https://stadtwerke-zeil.de,A,,,
Stadtwerke Zeitz GmbH,Geußnitzer Straße 74,6712,Zeitz,https://www.stadtwerke-zeitz.de,A,,,
Stadtwerke Zeven GmbH,Vitus-Platz 1,27404,Zeven,https://www.stadtwerke-zeven.de,A,,,
Stadtwerke Zirndorf GmbH,Schützenstr. 12,90513,Zirndorf,https://www.stadtwerke-zirndorf.de,A,,,
Stadtwerke Zittau GmbH,Friedensstraße 17,2763,Zittau,https://stadtwerke-zittau.de,A,,,
Stadtwerke Zweibrücken GmbH,Gasstraße 1,66482,Zweibrücken,https://www.stadtwerke-zw.de,A,,,
Stadtwerke Zwiesel,Fürhaupten 9,94227,Zwiesel,https://stadtwerke.zwiesel.de,A,,,
Stadtwerk Haßfurt GmbH,Augsfelder Str.6,97437,Haßfurt,https://www.stwhas.de/,A,,,
Stadtwerk Külsheim GmbH,Kirchbergweg 7,97900,Külsheim,https://www.stwhas.de/,A,,,
Stadtwerk Rheda-Wiedenbrück GmbH & Co. KG,Rathausplatz 13,33378,Rheda-Wiedenbrück,https://www.stadtwerk-rw.de,RC,,KlimaInvest-ÖkostromRE,
Stadtwerk Tauberfranken GmbH,Max-Planck-Str. 5,97980,Bad Mergentheim,https://stadtwerk-tauberfranken.de/,A,,,
Stadtwerk Verl GmbH,,,,,A,,,
STAWAG Stadtwerke Aachen Aktiengesellschaft,Lombardenstr. 12-22,52070,Aachen,https://www.stawag.de/,A,,,
Steingass Mineralöle GmbH,,,,,A,,,
Stern Strom GmbH,,,,,A,,,
STIEBEL ELTRON UmweltStromPlus - in Kooperation mit der Digital Energy Solutions GmbH & Co. KG,,,,https://strom.digital-energysolutions.de/,0,"Bei UmweltStromPlus handelt es sich um eine Kooperation zwischen Stiebel Eltron und Digital Solutions, Digital Energy Solutions ist ein Joint Venture der BMW Group und der Viessmann Group",TÜV Nord,
stm Stadtwerke Meerbusch GmbH,Kaarster Straße 135,40670,Meerbusch,https://stadtwerke-meerbusch.de,A,,,
strasserauf - eine Marke der Energieversorgung Oberhausen AG,,,,,A,,,
STROGON GmbH,,,,,A,,,
Strom.Manufaktur - eine Marke der DREWAG - Stadtwerke Dresden GmbH,,,,,A,,,
Strom Germering GmbH,,,,,A,,,
Stromio GmbH,Postfach 1463,39004,Magdeburg,https://www.stromio.de,A,,,
Strom- und Gasversorgung Versmold GmbH,,,,,A,,,
Stromversorgung Angermünde GmbH,,,,,A,,,
Stromversorgung der Gemeinde Hemhofen,Blumenstraße 25,91334,Hemhofen,https://www.hemhofen.de,A,,,
Stromversorgung Greding eG,Marktplatz 9,91171,Greding,https://www.raiba-gretha.de,A,,,
Stromversorgung Greifswald GmbH,Gützkower Landstraße 19-21,17489,Greifswald,https://www.sw-greifswald.de,A,,,
Stromversorgung Inzell eG,Bauhofstr. 15,83334,Inzell,https://www.stromversorgung-inzell.de,RC,,,
Stromversorgung Markt Egloffstein,,,,,A,,,
Stromversorgung Neunkirchen GmbH,Sichartstraße 49,91207,Lauf a. d. Pegnitz,http://www.stwl.lauf.de,A,,Grüner Strom,bio Erdgas
Stromversorgung Ruhpolding GmbH,Rathausstraße 12,83324,Ruhpolding,https://www.strom-ruhpolding.de,A,,,Zusammenarbeit mit dem Bayernwerk
Stromversorgung Schierling eG,Dorfmühlstraße 4,84069,Schierling,http://www.schierling-strom.de,A,,,
Stromversorgung Seebruck eG,Haushofer Str. 20,83358,Seebruck am Chiemsee,https://chiemsee-strom.com,A,,,
Stromversorgung Sulz GmbH,Am Markplatz 1,72172,Sulz a. N.,https://www.stromversorgung-sulz.de,A,,,
Stromversorgung Unterwössen Döllerer & Greimel GmbH,,,,,A,,,
Stromversorgung Zerbst GmbH & Co. KG,Dessauer Str. 76,39261,Zerbst,https://www.stadtwerke-zerbst.de,A,,,
Strom von Föhr Vertriebs-GmbH,Buurnstrat 79,25938,Oevenum,https://www.strom-von-foehr.de/,A,,TÜV Nord,
strotög GmbH Strom für Töging,Werkstraße 1,84513,Töging a. Inn,https://www.strotoeg.de,A,,,
stuttgartENERGIE - Eine Marke der Stadtwerke Stuttgart Vertriebsgesellschaft mbH,Friedrichstraße 45,70174,Stuttgart,https://www.stadtwerke-stuttgart.de,R,,TÜV Nord,Kooperiert mit der EWS Elektrizitätswerke Schönau
StWL Städtische Werke Lauf a.d. Pegnitz GmbH,,,,,A,,,
SÜC Energie und H2O GmbH,,,,,A,,,
SUEnergie GmbH & Co. KG,,,,,A,,,
sunshine energie - eine Marke der SWR Energie . Service . Bau GmbH,,,,https://www.sunshineenergy.de/,A,sunshine energie - eine Marke der SWR Energie . Service . Die SWR Energie 100%ige Tochter der Stadtwerke Rothenburg die auch Graustrom (Kohle-und Atomstrom) vertreibt. ,,
susiEnergie GmbH,Gerberstraße 7,88250,Weingarten,https://www.susi-energie.de,B,"Beteiligung von ENBW an der Muttergesellschaft mit 25,1%",OKPower,
Süwag Vertrieb AG & Co. KG,Schützenbleiche 9-11,65929,Frankfurt am Main,https://www.suewag.de,A,,,
SVH Stromversorgung Haar GmbH,Blumenstr. 3,85540,Haar,https://www.haar24.com,A,,, beteiligung der N-ERGIE
SVI - Stromversorgung Ismaning GmbH,Mayerbacherstr. 42,85737,Ismaning,https://stromversorgung-ismaning.de,A,,,
SVO Vertrieb GmbH,Sprengerstraße 2,29223,Celle,https://www.svo.de,A,,,
SVS-Versorgungsbetriebe GmbH,Von-Ardenne-Straße 8,48703,Stadtlohn,https://www.svs-versorgung.de,A,,,
SWB Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,,,,www.stadtwerke-bonn.de,A,,,
SWB Stadtwerke Biedenkopf GmbH,Mühlweg 16,35216,Biedenkopf,https://www.stadtwerke-biedenkopf.de,A,,,
swb Vertrieb Bremen GmbH,,,,,A,,,
swb Vertrieb Bremerhaven GmbH & Co. KG,,,,,A,,,
SWE Energie GmbH,,,,,A,,,
switch green - in Kooperation mit der LichtBlick SE,Mies-van-der-Rohe-Str. 6,80807,München,https://mep-werke.de/switch-green/,B,MEP vertreibt in Kooperation mit LichtBlick ökostrom sowie klimaneutrales Erdgas und vermietet z.B. Solaranlagen. Siehe auch Lichtblick,,
SWK Energie GmbH,,,,,A,,,
SWK Stadtwerke Kaiserslautern Versorgungs AG,Mies-van-der-Rohe-Str. 6,67655,Kaiserslautern,https://www.swk-kl.de,A,,,
SWM Versorgungs GmbH,Emmy-Noether-Straße 2,80992,München,https://www.swm.de,A,,,
SWN Stadtwerke Neumünster GmbH,,,,,A,,,
SWN Stadtwerke Neustadt GmbH,,,,,A,,,
SWN Stadtwerke Northeim GmbH,Am Mühlenanger 1,37154,Northeim,https://www.stadtwerke-northeim.de,A,,,
SWP Stadtwerke Pforzheim GmbH & Co. KG,Sandweg 22,75179,Pforzheim,https://www.stadtwerke-pforzheim.de,A,,,
SWR Energie GmbH & Co. KG,,,,,A,,,
SWS Stadtwerke Stralsund GmbH,Frankendamm 7,18439,Stralsund,https://www.stadtwerke-stralsund.de,A,,,
SWT Stadtwerke Trier Versorgungs-GmbH,Ostallee 7-13,54290,Trier,https://www.swt.de,A,,,
SWU Energie GmbH,,,,,A,,,
SWV Regional GmbH,,,,https://www.swv-regional.de,RC,,,
SWW Wunsiedel GmbH,Rot-Kreuz-Str. 6,95632,Wunsiedel,https://www.s-w-w.com,A,,,
TauberEnergie Kuhn,Engelsbergstraße 1,97980,Bad Mergentheim,https://www.tauberenergie-kuhn.de/,A,,,Zertifikate für Energie aus dem Parterkraftwerk
TEAG Thüringer Energie AG,,,,,A,,,
team energie GmbH & Co. KG,team Allee 22,24392,Süderbrarup,https://www.team.de/energie.html,0,"Die team Gruppe ist ein deutsches Handelsunternehmen in den Geschäftsfeldern Energiehandel, Tankstellen, Baumärkte, Baustoffhandel und Schmierstoffhandel",,Kaufen 100% Strom aus Wasserkraft aus Norwegen; Netzbetreiber in Berlin wäre Vattenfall - was heißt das?
Technische Werke der Gemeinde Losheim GmbH,,,,,A,,,
Technische Werke Ludwigshafen AG,Industriestraße 3,67063,Ludwigshafen,https://www.twl.de/privatkunden/,A,,,regional
Technische Werke Naumburg GmbH,,,,,A,,,
Technische Werke Osning GmbH,Gartnischer Weg 127,33790,Halle in Westfalen,https://www.two.de/,A,,,regional
Technische Werke Schussental GmbH & Co. KG,Schussenstraße 22,88212,Ravensburg,https://www.tws.de/startseite,R,,OKPower,regional
Teckwerke Bürgerenergie eG,Paradiesstr. 23 - 25,73230,Kirchheim unter Teck,https://teckwerke.de/,A,,Grüner Strom,regional
Teutoburger Energie Netzwerk eG,Höhenweg 14,49170,Hagen a.T.W,https://www.ten-eg.de/,A,,,
Thüga Energie GmbH,Industriestraße 9,78224,Singen,https://thuega-energie-gmbh.de/Privatkunden.13037.html,A,,,
Thüringer Energie AG,Schwerborner Straße 30,99087,Erfurt,https://www.thueringerenergie.de/Default,A,,,
TOTAL Energie Gas GmbH,,,,,A,,,
Turbine - eine Marke der Städtischen Werke Magdeburg GmbH & Co. KG,Am Alten Theater 1,39104,Magdeburg,https://www.turbine-energie.de/,A,,,
TWH - Technische Werke Herbrechtingen GmbH,Bauhofstraße 8,89542,Herbrechtingen,https://www.twh-gmbh.de/,A,,,
TWS Technische Werke der Gemeinde Saarwellingen GmbH,,,,,A,,,
TWS Thüringer Wärme Service GmbH,,,,https://www.tws-waerme.de,A,93% Erdgas im Portfolio,,Erdgaslieferant
Überlandwerk Eppler GmbH,,,,,A,,,
Überlandwerk Erding GmbH & Co. KG,Am Gries 21,85435,Erding,https://www.stadtwerke-erding.de/de/Strom/Rechtliches-Veroeffentlichungspflichten/,A,,,gehört zu den Stadtwerken
Überlandwerk Krumbach GmbH,Bahnhofstraße 4,86381,Krumbach,https://www.uewk.de/,A,,,
Überlandwerk Leinetal GmbH,Am Eltwerk 1,31028,Gronau,https://www.uewl.de/,A,,,
Überlandwerk Rhön GmbH,Sondheimer Str. 5,97638,Mellrichstadt,https://www.uew-rhoen.de/,A,,,
Überlandwerk Schäftersheim GmbH & Co. KG,Klosterhof 3,97990,Weikersheim,https://www.uews.de/privat-gewerbekunden/!ut/p/z1/hY_BCoJAEIafpYNXZ1II66ZCoWFmUdpeQmNbBXVl3drXb6kuhtLcZv7vm2GAQAakzZ8Vy2XF27zW_YUsrlHg49yLMYpP5zUm2-i4dBI_CNGC9B9AdIwT5aL2yRuZ2GDv8Av8mt7B8mzETWyNAoMjIRBW8-Lzj9sWtsOACHqnggrzIfS4lLLrVwYaqJQyGeespuaNNwaOKSXvJWRDEromw2rfpE7vzl6J9qm7/dz/d5/L2dBISEvZ0FBIS9nQSEh/,A,,,
ubitricity Gesellschaft für verteilte Energiesysteme mbH,,,,,A,,,
Unterfränkische Überlandzentrale Lülsfeld eG,Schallfelder Straße 11,97511,Lülsfeld,https://www.uez.de/,A,,,
ÜZW Energie AG,Regensburger Straße 33,84051,Altheim,https://uezw-energie.de/,A,,,
Vattenfall Europe Sales GmbH,Überseering 12,22297,Hamburg,https://www.vattenfall.de/,A,,,
Verbandsgemeinde Weilerbach Elektrizitätsversorgung,Rummelstr. 15,67685,Weilerbach,https://www.evu-weilerbach.de/werkverwaltung/index.html,A,,,
Verbandsgemeindewerk Bruchmühlbach-Miesau,Am Rathaus 2,66892,Bruchmühlbach-Miesau,www.bruchmuehlbach-miesau.de,A,,,"wohl regional, aber keine Webseite vorhanden"
Verbandsgemeindewerk Dannstadt-Schauernheim,,,,,A,,,
Verbandsgemeindewerke Dahner Felsenland,Schulstraße 29,66994,Dahn,https://www.werke-dahner-felsenland.de/,A,,,
Verbandsgemeindewerke Enkenbach-Alsenborn,Hauptstr. 18,67677,Enkenbach-Alsenborn,http://www.werke-enkenbach-alsenborn.de/,A,,,
Verbandsgemeindewerke Hochspeyer,,,,https://www.enkenbach-alsenborn.de,A,,,
Verbands- und Gemeindewerke Rülzheim,Am Deutschordensplatz 1,76761,Rülzheim,https://www.gemeindewerke-ruelzheim.de/startseite/startseite.html,A,,,
Vereinigte Gas- und Wasserversorgung GmbH,Ringstraße 144,33378,Rheda-Wiedenbrück,https://www.vgw-gmbh.de/,B,"VGW ist 100%ige Tochter der GELSENWASSER AG, GELSENWASSER handelt (über die Eigenmarke ""Erenja"") auch Graustrom. Der Anbieter hat zudem kein erkennbares Investitionsprogramm (entsprechend der ROBIN WOOD Kriterien) zur Förderung der Energiewende",,
Vereinigte Stadtwerke GmbH,Schweriner Straße 90,23909,Ratzeburg,https://www.vereinigte-stadtwerke.de/privatkunden/strom/strom-informationen/stromzusammensetzung,A,,,
Vereinigte Wertach-Elektrizitätswerke GmbH,Neugablonzer Straße 21,87600,Kaufbeuren,https://www.vwew-energie.de/,A,,,
Versorgungsbetriebe Bordesholm GmbH,Bahnhofstr. 13,24582,Bordesholm,https://www.vb-bordesholm.de/,A,,TÜV Rheinland,
Versorgungsbetriebe Elbe GmbH,Hamburger Straße 9-11,21481,Lauenburg/Elbe,https://www.versorgungsbetriebe-elbe.de/,A,,,
Versorgungsbetriebe Hann. Münden GmbH,Werraweg 24,34346,Hann. Münden,https://www.versorgungsbetriebe.de/,A,,,
Versorgungsbetriebe Hoyerswerda GmbH,Industriegelände Str. A Nr. 7,2977,Hoyerswerda,https://www.vbh-hoy.de/Stromkennzeichnung,A,,,
Versorgungsbetriebe Kronshagen GmbH,Kopperpahler Allee 7,24119,Kronshagen,https://www.vbk-kronshagen.de/stromprodukte/informationen/strommix/,A,,,
Versorgungsbetriebe Röttingen,,,,,A,,,
Versorgungsbetriebe Zellingen,Würzburger Straße 26,97225,Zellingen,http://www.markt-zellingen.de/seite/ze/main-spessart/124/-/Strom_-Energie.html,A,,,
Versorgungsbetrieb Waldbüttelbrunn GmbH,Lindenstraße 3,97297,Waldbüttelbrunn,https://www.vwg-energie.de/,A,,,
Ver- und Entsorgungsgesellschaft mbH Sersheim,,,,,A,,,
ViShare - in Kooperation mit der Digital Energy Solutions GmbH & Co. KG,,,,,A,,,
vivi-power GmbH,Industriestraße 2,68519,Viernheim,https://www.vivi-power.de/,A,,,
voltera - eine Marke der Energy2day GmbH,,,,,A,,,
Vorarlberger Kraftwerke AG,Sedanstr. 19,88161,Lindenberg,https://www.vkw.de/,A,,,
VWS Verbundwerke Südwestsachsen GmbH,Hartensteiner Straße 7,9350,Lichtenstein,https://www.vws-verbundwerke.de/,A,,,
Wadersloh Energie GmbH,Liesborner Straße 5,59329,Wadersloh,https://www.wadersloh-energie.de/,A,,,
Warendorfer Energieversorgung GmbH (WEV),Hellegraben 25,48231,Warendorf,https://www.stadtwerke-warendorf.de/,A,,,gehört zusammen mit den Stadtwerken
Warsteiner Verbundgesellschaft mbH,,,,,A,,,
Weißachtal-Kraftwerke eG,Kalzhofer Str. 5,87534,Oberstaufen,http://www.wkw-oberstaufen.de/,A,,,
WEMAG AG,Obotritenring 40,19053,Schwerin,https://www.wemag.com/?referer=adwords&gclid=EAIaIQobChMI17iJuZiP5AIVx-FRCh2p5gglEAAYASAAEgLGG_D_BwE,A,,Grüner Strom,
Wendelsteinbahn GmbH,Kerschelweg 30,83098,Brannenburg,https://www.wendelsteinbahn.de/stromvertrieb,A,,,
"WEP Wärme-, Energie- und Prozesstechnik GmbH",,,,,A,,,
Werraenergie GmbH,August-Bebel-Straße 36-38,36433,Bad Salzungen,https://www.werraenergie.de/privatkunden/strom.html,A,,,
Werra-Strom GmbH,Hinter dem Deich 9,37213,Witzenhausen,http://www.werra-strom.de/de/home,A,,,
WestEnergie GmbH,Mühlenstraße 30,41812,Erkelenz,keine eigene Website,A,,,keine Internet presenz
Westfalen AG,,,,,A,,,
WestfalenWIND Strom GmbH,,,,,A,,,
Westfalica GmbH,Steinstr. 9,32547,Bad Oeynhausen,https://www.westfalica.de/,A,,,
WEVG Salzgitter GmbH & Co. KG,Albert-Schweitzer-Straße 7-11,38226,Salzgitter,https://www.wevg.com/,A,,,
WIND LINE,,,,,A,,,
Windströöm - eine Marke der Windkraftmining GmbH,,,,,A,,,
Wir Energie - eine Marke der Energiehaus Dresden eG,Wiener Str. 114-116,1219,Dresden,https://www.wir-energie.de/,A,,,
Wirtschaftsbetriebe der Stadt NSHB Borkum GmbH,Hindenburgstr. 110,26757,Borkum,keine eigene Webseite,A,,,
WSE Energiedienstleistungen GmbH,,,,,A,,,
WSW Energie & Wasser AG,Bromberger Str. 39 - 41,42281,Wuppertal,https://www.wsw-online.de/wsw-energie-wasser/privatkunden/,A,,,
Wunderwerk AG,,,,,A,,,
Yello Strom GmbH,Siegburger Straße 229,50679,Köln,https://www.yello.de/plus?mc=yello_traffic.alwayson_performance.leads.strom.sea.google_search.mobil_und_desktop.yellostrom_.4568&extProvId=5&extPu=27766-gaw&extCr=17286056776-237515708564&extLi=353373136&keyword=yello%20strom%20gmbh&subid=Sitelink&gclid=EAIaIQobChMI8taiipGR5AIVUlXTCh2U9gldEAAYASAAEgLLa_D_BwE,A,,,
ZEAG Energie AG,Weipertstraße 41,74076,Heilbronn,https://www.zeag-energie.de/,A,,,
Zwickauer Energieversorgung GmbH,Bahnhofstr. 4,8056,Zwickau,https://www.zev-energie.de/,A,,,
